GeneID	GSM5492071_IMC081	GSM5492072_IMC101	GSM5492073_IMC102	GSM5492074_IMC112	GSM5492075_IMC113	GSM5492076_IMC128	GSM5492077_IMC008	GSM5492078_IMC027	GSM5492079_IMC042	GSM5492080_IMC083	GSM5492081_IMC089	GSM5492082_IMH003	GSM5492083_IMH013	GSM5492084_IMH017	GSM5492085_IMH023	GSM5492086_IMH028	GSM5492087_IMH029
1	136	80	113	70	16	336	65	148	86	96	143	51	56	81	28	93	111
2	58	25	21	72	40	30	8	102	120	74	59	34	11	37	26	37	41
3	23	2	12	47	29	12	14	36	33	21	10	2	0	11	5	7	22
9	95	112	181	141	302	338	59	165	108	93	75	281	241	75	113	128	86
10	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
14	1842	1764	2574	1598	3644	3332	928	2465	1724	2276	1711	3653	2055	1091	1428	1505	1112
15	81	37	37	103	72	475	52	152	137	125	79	254	276	127	86	161	133
16	617	943	884	751	1773	1537	614	2039	1159	1172	527	1718	1386	1110	954	1503	841
18	704	384	670	490	1077	916	186	648	544	551	448	615	342	292	366	308	253
19	929	632	1317	1507	1909	2168	199	745	508	860	1055	3135	510	335	307	540	523
20	9905	4266	8061	5655	3680	15391	2768	10902	10755	8739	7347	5399	1891	3142	5158	6798	8419
21	425	205	440	290	222	372	110	393	482	404	304	287	142	210	183	283	326
22	560	405	746	422	1453	1460	264	883	650	707	393	884	415	324	349	442	286
23	1339	1201	2012	1883	2820	2930	1069	2138	1698	1574	1186	2264	1425	1197	1648	1616	1151
24	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	2	0
25	1572	943	1987	1261	1775	3855	539	1719	1415	1459	1330	1824	644	591	984	830	606
26	0	5	7	0	2	4	0	0	2	10	0	6	3	0	0	0	0
27	995	454	1102	825	1550	2537	233	1006	1104	873	591	815	473	489	507	545	371
28	37	19	32	46	179	80	3	13	5	10	38	29	130	9	39	81	174
29	6692	4092	7115	5263	8242	14763	2381	5619	5219	5848	4939	10073	4443	2801	3340	4095	3215
30	2334	1683	2469	1807	2939	5904	1423	2962	2411	2528	2260	5076	2880	1384	1615	1846	1591
31	697	339	778	562	1149	1332	166	931	616	587	483	812	463	308	507	546	319
32	563	215	483	198	877	599	107	626	657	394	422	565	50	190	274	253	181
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	484	532	719	590	1374	1115	300	1024	826	695	333	1208	615	408	587	765	370
35	445	319	482	329	254	1245	172	545	545	393	382	915	403	301	343	400	403
36	783	410	1034	598	1491	1013	235	1102	954	1022	536	761	241	415	393	484	548
37	5810	4907	5981	4783	6612	21857	3600	9253	5730	7199	4383	16061	9417	5665	6352	6085	6859
38	413	388	431	444	632	886	267	647	494	543	283	966	388	439	516	537	336
39	328	321	456	379	812	902	172	462	347	355	273	424	417	291	379	365	246
40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
41	38	8	53	24	17	3	21	65	35	47	17	20	0	31	27	9	20
43	2	3	5	1	5	15	0	5	0	4	0	12	58	0	17	2	11
47	2986	2275	3617	3011	5067	6640	888	4669	3419	3480	2040	5487	2520	1768	2485	3453	1534
48	272	228	337	207	526	505	95	378	381	349	141	577	204	133	143	252	155
49	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0
50	1642	1395	1863	1580	2375	3188	605	2186	1768	1875	1266	3028	1352	945	1238	1399	694
51	939	749	1611	871	2542	3341	373	1022	867	1133	687	2081	1152	512	593	842	549
52	1665	1011	2168	1406	2811	2613	803	1860	1816	1676	1499	1779	1235	845	1239	1189	939
53	605	461	711	820	791	1056	349	789	518	587	483	2947	1141	482	524	743	548
54	1810	1227	1698	1361	3245	4030	993	1853	1230	1663	1572	2435	601	849	852	1477	1765
55	549	331	598	442	956	2040	194	414	481	556	509	1949	1072	323	377	399	220
56	0	2	2	2	0	1	0	6	2	0	0	1	1	1	1	0	1
58	22	14	10	15	39	103	16	24	13	24	23	44	64	6	18	27	17
59	160	91	131	171	50	194	12	269	236	118	127	306	174	121	131	218	97
60	113314	96637	132337	123747	114149	225777	42972	134556	87476	127355	115469	268743	204501	73080	102673	108001	68951
70	1	1	6	5	1	4	1	3	1	3	1	2	3	0	0	0	1
71	33561	30810	44457	33611	46772	63008	14745	47646	30618	41936	32861	64843	41284	24624	34966	35384	22004
72	2	6	6	0	3	3	0	0	0	0	1	1	7	3	3	3	15
81	5654	4139	6127	5392	5189	12662	1745	7835	5970	5932	3843	9318	4031	2960	4582	5471	2956
86	462	427	596	313	986	789	264	853	689	765	389	1037	567	437	462	604	508
87	2578	1916	4160	1749	5071	10565	953	2301	1355	2608	1894	3827	2780	1099	2313	1356	1265
88	2	0	1	2	0	3	0	0	0	0	1	4	0	0	2	0	1
89	31	6	18	16	11	34	9	10	40	13	27	20	12	7	14	19	7
90	462	434	444	283	679	871	159	390	509	469	350	626	437	284	405	312	213
91	819	675	1678	1041	1697	5796	433	526	539	746	811	2398	1103	333	528	449	324
92	320	332	387	237	434	328	238	273	325	358	212	444	264	225	252	205	188
93	242	147	305	188	794	192	90	355	286	392	123	113	44	116	97	150	151
94	46	52	41	55	68	85	10	68	39	54	14	148	367	56	26	76	14
95	32	21	26	16	12	52	0	33	34	37	35	29	2	8	17	26	16
97	114	62	69	58	138	124	75	246	176	127	106	85	68	90	92	117	165
98	95	86	128	78	126	240	51	158	99	135	69	196	82	62	66	102	72
100	1405	707	1353	1222	1070	1255	564	1757	1746	1224	963	2851	491	693	833	1135	1321
101	9890	6063	14050	8528	4664	25356	3995	10381	9831	7317	7360	6932	7648	4093	6658	7145	5498
102	3230	2494	5410	3218	9131	9721	784	3948	3829	4289	2567	8311	2933	1425	2112	3213	1507
103	13527	9867	13600	24391	24059	25491	4534	17092	13774	13226	13162	18807	10720	8122	9020	11652	6370
104	1203	822	1112	1454	1656	2812	442	1761	1306	1608	717	819	1006	824	845	938	972
105	0	2	31	0	7	32	0	171	34	21	4	0	14	0	19	0	0
107	32	20	11	1	28	22	29	25	25	20	26	12	1	51	26	13	21
108	0	0	0	0	0	0	0	5	0	0	0	7	0	0	2	0	0
109	662	457	537	355	687	925	290	775	691	699	486	573	270	359	1000	522	439
111	19	8	11	21	13	11	7	15	21	23	12	13	10	21	25	13	15
112	7	26	46	17	90	68	8	44	36	31	26	28	39	7	30	26	14
113	13298	8692	17267	13014	18385	35336	6034	20930	18016	15059	10381	24482	16508	7941	8324	12558	9347
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	1163	630	1258	1020	1135	2359	298	1447	1063	1266	1030	956	408	320	592	698	414
116	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	7235	4505	7400	6226	8982	10504	2189	9186	7462	7533	5301	8304	3876	3417	4602	5496	3710
119	234	79	139	206	224	138	60	229	355	250	121	299	65	166	94	127	183
120	9378	5600	10790	8974	18834	23891	2662	12304	12729	12112	6605	9248	2914	4194	5729	7521	5195
123	592	390	878	692	1275	5254	296	924	805	501	429	2089	923	481	859	694	349
124	4	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0
125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
127	0	0	2	0	0	0	0	0	1	2	1	0	0	0	1	0	0
128	1019	868	1583	1024	2272	2056	401	1468	1126	1171	953	1577	556	609	836	1105	633
130	6	9	6	7	15	11	7	8	2	7	7	0	0	4	5	3	17
131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	941	478	1075	680	1927	793	223	810	547	748	958	646	245	300	361	313	279
133	413	333	188	527	171	4305	156	181	336	445	486	2131	2075	378	409	494	325
134	5	3	0	3	2	0	7	3	8	1	3	0	0	0	1	3	3
135	35	33	46	42	10	82	5	83	96	38	12	41	14	31	31	33	27
136	19	16	37	19	70	141	50	38	31	55	23	149	111	32	41	39	62
140	20	7	11	4	24	89	5	7	6	10	2	60	75	12	8	18	4
141	237	462	400	485	848	1036	199	435	259	513	282	1225	844	222	231	409	126
142	2842	2453	3150	2737	4599	3544	945	5354	3315	3677	1770	4348	1721	2418	2829	3695	1795
143	3283	2606	4194	3233	8907	9129	938	4581	3838	3890	2562	7214	2113	1450	2358	3516	1708
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
