Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),3/25,0.00013301784566408333,0.0629651827275368,0,0,35.23848878394333,314.5044730267283,HRK;MOAP1;PMAIP1
GO_Biological_Process_2023,Negative Regulation Of Cell Differentiation (GO:0045596),6/207,0.0001817185557825591,0.0629651827275368,0,0,7.954417103670835,68.5118038847495,EPHA4;WNT10B;SOX8;SIRT1;HDAC9;SMAD7
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),5/146,0.0002996821425120215,0.0629651827275368,0,0,9.35177304964539,75.86895376532658,EPHA4;CNTNAP1;NYAP1;RYK;NRCAM
GO_Biological_Process_2023,Peptidyl-Lysine Deacetylation (GO:0034983),2/7,0.00032751720534479503,0.0629651827275368,0,0,102.12820512820512,819.4736509227971,HDAC9;SIRT1
GO_Biological_Process_2023,Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199),3/41,0.0005887623487684856,0.0717310628693017,0,0,20.38482570061517,151.61189527267155,HRK;MOAP1;PMAIP1
GO_Biological_Process_2023,Neuron Projection Fasciculation (GO:0106030),2/10,0.0006963752277821239,0.0717310628693017,0,0,63.82051282051282,463.9509991068783,EPHA4;NRCAM
GO_Biological_Process_2023,Midbrain Dopaminergic Neuron Differentiation (GO:1904948),2/10,0.0006963752277821239,0.0717310628693017,0,0,63.82051282051282,463.9509991068783,NR4A2;RYK
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),6/270,0.0007462269219173133,0.0717310628693017,0,0,6.036855036855036,43.46825890080096,HRK;WNT10B;MOAP1;BTG1;PMAIP1;SIRT1
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),10/763,0.000908157586135208,0.0726435904693685,0,0,3.636311895276039,25.469065387571717,NR4A2;ZNF263;ZBTB21;ZBTB10;IRF2BP2;SOX8;NR1D2;SIRT1;HDAC9;SMAD7
GO_Biological_Process_2023,Axonal Fasciculation (GO:0007413),2/12,0.0010160612330945,0.0726435904693685,0,0,51.05128205128205,351.8363315571943,EPHA4;NRCAM
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),5/192,0.0010391150782354,0.0726435904693685,0,0,7.0349376114082,48.32570063264596,EPHA4;BTG2;CNTNAP1;NYAP1;RYK
GO_Biological_Process_2023,Positive Regulation Of Glucose Metabolic Process (GO:0010907),2/15,0.0016039286166702,0.0952243682947948,0,0,39.26429980276134,252.67752000897423,PMAIP1;SIRT1
