Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),15/111,3.452653510367017e-13,4.882052063658961e-10,0,0,16.64189189189189,477.5301534729409,SPAG5;CDCA5;KIF14;NCAPG;KIF23;KIF11;TUBG1;NCAPH;TPX2;CCNB1;KIF18B;KIFC1;NUSAP1;CEP55;DLGAP5
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),14/118,1.3272030692724274e-11,9.38332569975606e-09,0,0,14.25475599669148,357.01552772892444,FEN1;SPAG5;EGF;KIF14;NCAPG;KIF23;CDC6;NCAPH;AURKB;RACGAP1;NUSAP1;BIRC5;ECT2;E2F7
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),9/59,6.811817981844371e-09,3.210636875442646e-06,0,0,18.612565445026178,350.00197463481146,RACGAP1;NUSAP1;BIRC5;KIF23;KIF20A;ECT2;CENPA;CEP55;AURKB
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),5/9,1.1600243962435594e-08,3.682593797568255e-06,0,0,126.8974358974359,2318.7003670245035,CCNB1;RACGAP1;SPAG5;NEK2;ECT2
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),10/85,1.3021901688713772e-08,3.682593797568255e-06,0,0,13.842105263157896,251.32602731162743,TPX2;CCNB1;KIFC1;NUF2;BIRC5;KIF23;KIF11;TUBG1;DLGAP5;AURKB
GO_Biological_Process_2023,Positive Regulation Of DNA-directed DNA Polymerase Activity (GO:1900264),5/12,7.115625499576914e-08,1.4373563509145365e-05,0,0,72.5018315018315,1193.2632448189015,GINS1;GINS2;PCNA;DSCC1;GINS3
GO_Biological_Process_2023,Regulation Of DNA-directed DNA Polymerase Activity (GO:1900262),5/12,7.115625499576914e-08,1.4373563509145365e-05,0,0,72.5018315018315,1193.2632448189015,GINS1;GINS2;PCNA;DSCC1;GINS3
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),9/80,1.0491921698353877e-07,1.760782781523985e-05,0,0,13.093503428950669,210.41358401404568,RACGAP1;KIF14;KIF23;KIF20A;CDC6;ECT2;AURKB;E2F7;BCL2L1
GO_Biological_Process_2023,Cytoskeleton-Dependent Cytokinesis (GO:0061640),9/81,1.1702273352102264e-07,1.760782781523985e-05,0,0,12.910994764397904,206.0710655736609,RACGAP1;NUSAP1;BIRC5;KIF23;KIF20A;ECT2;CENPA;CEP55;AURKB
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),8/59,1.2452494918840065e-07,1.760782781523985e-05,0,0,16.13480392156863,256.5233710983305,CCNB1;NUF2;NUSAP1;BIRC5;KIF11;TUBG1;DLGAP5;AURKB
