Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,11/124,4.79691261699852e-08,8.922257467617246e-06,0,0,10.139860467294096,170.88411002706076,CDC20;YWHAE;CCNB2;CCNB1;PCNA;CDC45;E2F1;E2F2;CDC6;BUB1;CDC25A
KEGG_2021_Human,p53 signaling pathway,6/73,9.0483142653988e-05,0.0076950614924423,0,0,9.108939836897983,84.80739062557714,CCNB2;CCNB1;RRM2;CASP3;GTSE1;BCL2L1
KEGG_2021_Human,Neutrophil extracellular trap formation,9/189,0.00012411389503939345,0.0076950614924423,0,0,5.136125654450262,46.19591098608547,H2AC11;SELP;H2BC12;H2BC15;H2AC6;H2BC5;ITGB3;ITGA2B;H2BC11
KEGG_2021_Human,Focal adhesion,8/201,0.0009645976489622908,0.0273176123019308,0,0,4.232944732297064,29.39271946338006,ITGB5;EGF;CAV1;ITGB3;ITGA2B;ITGA7;MYL9;MYLK
KEGG_2021_Human,Pancreatic cancer,5/76,0.0009887099209859827,0.0273176123019308,0,0,7.124954857349223,49.29834337305474,RAD51;EGF;E2F1;E2F2;BCL2L1
KEGG_2021_Human,One carbon pool by folate,3/20,0.0009905301969888136,0.0273176123019308,0,0,17.721409375933113,122.5837770787782,MTHFD2;TYMS;GART
KEGG_2021_Human,Viral carcinogenesis,8/203,0.001028082183406,0.0273176123019308,0,0,4.189102564102564,28.82127770015268,CDC20;YWHAE;H2BC12;H2BC15;H2BC5;CASP3;H2BC11;JAK3
KEGG_2021_Human,Regulation of actin cytoskeleton,8/218,0.0016181249056377,0.0376214040560767,0,0,3.886904761904762,24.979143955658422,ITGB5;EGF;ITGB3;ITGA2B;ITGA7;MYL9;IQGAP3;MYLK
KEGG_2021_Human,ECM-receptor interaction,5/88,0.0019039709857819,0.0393487337061609,0,0,6.091133765832561,38.15372640786974,ITGB5;ITGB3;ITGA2B;ITGA7;HMMR
KEGG_2021_Human,Small cell lung cancer,5/92,0.0023146406127895,0.0405297474445622,0,0,5.809902740937224,35.257399700593666,CASP3;ITGA2B;E2F1;E2F2;BCL2L1
KEGG_2021_Human,Systemic lupus erythematosus,6/135,0.0023969205477966,0.0405297474445622,0,0,4.7161352193718535,28.45513419494503,H2AC11;H2BC12;H2BC15;H2AC6;H2BC5;H2BC11
