Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Cell Cycle R-HSA-1640170,56/654,1.6567848311560458e-36,1.2144232812373817e-33,0,0,12.487365291713118,1028.8113552258487,YWHAE;FEN1;DSCC1;HJURP;MCM10;LMNB1;CDC20;NUF2;NEK2;OIP5;TK1;GTSE1;H2AC6;KIF23;ESCO2;TUBG1;CDC25A;PSMA5;H2BC12;H2BC15;H2BC11;BIRC5;KIF20A;PCNA;PSMD14;CDCA5;NCAPG;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;CCNB2;CCNB1;CDC45;PRKAR2B;E2F1;E2F2;CLSPN;BUB1;GINS1;GINS2;CENPU;RRM2;H2BC5;UBE2C;GINS3;CDC6;HSPA2;TPX2;CENPF;RAD51;PSMC2;CENPM;SPC24
Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",50/523,9.294387623678956e-35,3.406393064078337e-32,0,0,13.62015503875969,1067.2898885995835,YWHAE;FEN1;MCM10;LMNB1;CDC20;NUF2;NEK2;TK1;GTSE1;H2AC6;KIF23;ESCO2;TUBG1;CDC25A;PSMA5;H2BC12;H2BC15;H2BC11;BIRC5;KIF20A;PCNA;PSMD14;CDCA5;NCAPG;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;CCNB2;CCNB1;CDC45;PRKAR2B;E2F1;E2F2;BUB1;GINS1;GINS2;CENPU;RRM2;H2BC5;UBE2C;GINS3;CDC6;TPX2;CENPF;PSMC2;CENPM;SPC24
Reactome_2022,M Phase R-HSA-68886,32/380,1.4948540328047022e-20,3.4350173310723837e-18,0,0,10.64696223316913,486.0303475254464,YWHAE;PSMD14;CDCA5;NCAPG;CENPA;NCAPH;SKA1;AURKB;LMNB1;CDC20;CCNB2;CCNB1;PRKAR2B;NUF2;NEK2;BUB1;CENPU;H2BC5;H2AC6;UBE2C;KIF23;TUBG1;PSMA5;H2BC12;CENPF;H2BC15;PSMC2;H2BC11;CENPM;BIRC5;KIF20A;SPC24
Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,28/271,1.874497861431041e-20,3.4350173310723837e-18,0,0,13.101636520241172,595.1203659204331,YWHAE;PSMD14;MCM10;CENPA;SKA1;AURKB;CDC20;CCNB2;CCNB1;CDC45;NUF2;CLSPN;GTSE1;BUB1;CENPU;H2BC5;UBE2C;CDC6;CDC25A;PSMA5;H2BC12;CENPF;H2BC15;PSMC2;H2BC11;CENPM;BIRC5;SPC24
Reactome_2022,Mitotic Prometaphase R-HSA-68877,20/186,3.152910573495177e-15,4.622166900743929e-13,0,0,13.14190093708166,438.8139911004526,YWHAE;CENPU;CDCA5;NCAPG;TUBG1;CENPA;NCAPH;SKA1;AURKB;CDC20;CCNB2;CCNB1;CENPF;PRKAR2B;NUF2;BIRC5;CENPM;NEK2;BUB1;SPC24
Reactome_2022,RHO GTPase Effectors R-HSA-195258,22/269,3.8289200700602654e-14,4.677664018923623e-12,0,0,9.784060410317062,302.2649319009643,YWHAE;CENPU;H2BC5;H2AC6;KIF14;IQGAP3;CENPA;SKA1;AURKB;MYLK;CDC20;H2BC12;CENPF;H2BC15;CTTN;NUF2;H2BC11;CENPM;BIRC5;MYL9;BUB1;SPC24
Reactome_2022,DNA Replication R-HSA-69306,17/155,2.9302605997635633e-13,3.0684014566095594e-11,0,0,13.23568543597054,381.9622246767499,GINS1;GINS2;FEN1;PCNA;H2AC6;PSMD14;H2BC5;UBE2C;GINS3;MCM10;CDC6;H2BC12;PSMA5;H2BC15;CDC45;H2BC11;PSMC2
Reactome_2022,G2/M Checkpoints R-HSA-69481,16/148,1.8787685967571253e-12,1.7214217267787162e-10,0,0,12.956521739130435,349.83132858760234,YWHAE;PSMD14;H2BC5;MCM10;CDC6;CDC25A;H2BC12;PSMA5;CCNB2;CCNB1;H2BC15;CDC45;H2BC11;PSMC2;CLSPN;GTSE1
Reactome_2022,Mitotic Anaphase R-HSA-68882,19/232,2.2327366810565265e-12,1.766492446454227e-10,0,0,9.653023111041945,258.96930653868185,CENPU;PSMD14;UBE2C;CDCA5;CENPA;SKA1;AURKB;LMNB1;CDC20;PSMA5;CCNB2;CENPF;CCNB1;NUF2;PSMC2;CENPM;BIRC5;BUB1;SPC24
Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,19/233,2.4099487673318244e-12,1.766492446454227e-10,0,0,9.607425001290856,257.0122193149595,CENPU;PSMD14;UBE2C;CDCA5;CENPA;SKA1;AURKB;LMNB1;CDC20;PSMA5;CCNB2;CENPF;CCNB1;NUF2;PSMC2;CENPM;BIRC5;BUB1;SPC24
Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,14/106,2.985849330067453e-12,1.9896614172176759e-10,0,0,16.12388966806919,427.8818671090991,CENPU;CDCA5;CENPA;SKA1;AURKB;CDC20;CCNB2;CCNB1;CENPF;NUF2;BIRC5;CENPM;BUB1;SPC24
